J000931+021707	2.35
J002127-020333	2.596
J002830-281704	2.4
J002952+020606	2.333
J003501-091817	2.419
J004054-091526	4.976
J004351-265128	2.786
J004358-255115	2.501
J004448+372114	2.41
J004530-261709	3.44
J005202+010129	2.271
J005700+143737	2.643
J005814+011530	2.494
J010311+131617	2.721
J010741-263328	2.46
J010806+163550	2.652
J010925-210257	3.226
J011150+140141	2.47
J012156+144823	2.87
J013340+040059	4.15
J014516-094517	2.719
J014944+150106	2.06
J015227-200107	2.06
J020455+364917	2.912
J020950-000506	2.828
J020944+051714	4.18
J021129+124110	2.953
J022554+005451	2.975
J022853-033737	2.066
J023145+132254	2.059
J023359+004938	2.522
J023924-090138	2.471
J025127+341442	2.23
J025515+014828	2.47
J025644+001246	2.251
J030046+022245	2.52
J030341-002321	3.176
J031003-004645	2.114
J033900-013318	3.197
J040241-064124	2.432
J045213-164012	2.684
J073149+285448	3.676
J074110+311200	0.631
J074521+473436	3.22
J074749+443417	4.435
J074927+415242	3.111
J080518+614423	3.033
J081240+320808	2.712
J081435+502946	3.897
J081740+135134	4.389
J082107+310751	2.626
J082540+354414	3.846
J082619+314848	3.093
J082849+085854	2.271
J083052+241059	0.942
J083102+335803	2.427
J090033+421546	3.29
J092759+154321	1.805
J092708+582319	1.91
J092914+282529	3.399
J093643+292713	2.924
J094202+042244	3.275
J095309+523029	1.8756
J095822+014524	1.96
J095820+322402	0.53
J095852+120245	3.298
J100841+362319	3.126
J101155+294141	2.652
J101336+561536	3.633
J101447+430030	3.125
J101723-204658	2.545
J101939+524627	2.17
J102009+104002	3.168
J102325+514251	3.447
J102410+060013	2.131
J103514+544040	2.989
J104018+572448	3.409
J104213+062853	2.035
J105123+354534	4.912
J105648+120826	1.923
J110045+112239	4.707
J110621+104432	1.859
J110610+640009	2.203
J111113-080402	3.922
J111909+211917	1.183
J112442-170517	2.4
J113130+604420	2.921
J113418+574204	3.522
J113508+222715	2.886
J115538+053050	3.475
J115940-003203	2.035
J120207+323538	5.292
J120416+022111	2.529
J120917+113830	3.105
J121117+042222	2.526
J121930+494052	2.633
J122518+483116	3.09
J122824+312837	2.2
J123643-020420	1.865
J123748+012606	3.145
J124610+303131	2.56
J124924-023339	2.117
J130426+120245	2.98
J130411+295348	2.85
J130542+092427	2.063
J131040+542449	1.929
J131215+423900	2.567
J131341+144140	1.884
J131855+531207	2.321
J133532+082404	1.909
J134328+572147	3.034
J134544+262506	2.031
J135038-251216	2.534
J135317+532825	2.92
J140501+444800	2.218
J141719+413237	2.024
J141906+592312	2.321
J143316+313126	2.94
J143500+535953	2.635
J143916-015627	2.162
J144453+291905	2.66
J145435+094100	1.946
J145408+511443	3.644
J150932+111313	2.11
J151224+465233	3.36
J152156+520238	2.208
J154153+315329	2.558
J155152+191104	2.843
J155556+480015	3.299
J155810-003120	2.827
J155814+405337	2.635
J160455+381214	2.551
J160413+395121	3.13
J160547+511330	1.785
J160843+071508	2.877
J161009+472444	3.217
J162453+375806	3.38
J162548+264433	2.535
J162548+264658	2.518
J162557+264448	2.601
J162645+642655	2.32
J162902+091322	1.986
J170100+641209	2.735
J171227+575507	3.008
J173352+540030	3.425
J175603+574848	2.11
J182157+642036	0.297
J193957-100241	3.787
J200324-325145	3.783
J203642-055300	2.582
J210025-064146	3.137
J212329-005052	2.262
J212904-160249	2.9
J212912-153841	3.268
J220639-181846	2.728
J220852-194400	2.573
J222256-094636	2.926
J224145+122557	2.631
J225409+244523	2.328
J230301-093930	3.455
J231324+003444	2.083
J231543+145606	3.39
J233446-090812	3.317
J233823+150445	2.42
J234023-005327	2.085
J234352+141014	2.896
J234451+343348	3.01
J234628+124859	2.573
J234856-104131	3.173
J235050+045507	2.593
SDSSJ155814     2.635
